iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.2961602210998535,0.006266992646293861,0.004392964469949932,0.012707366230695915,0.0010007080765265367,0.0,0.1469329551537472,0.1,0.1237337589263916,0.05576968193054199,0.055543486,0.91627777,0.006266992646293861,0.0,0.00012383046872076463,0.0,200,0.036435842514038086,65.06392854197425,19.29832379787974,200,0.006393662195997814,0.0
1,1.1102683544158936,0.00885556525933528,0.003483054705454417,0.014697930783229804,0.005652280773793545,0.0,0.14538446119689488,0.1,0.003400564193725586,0.05625438690185547,0.0488404,0.8131757,0.006525849907598004,0.0,0.00016735852445685603,0.0,200,0.0784006118774414,11.365337687050884,1.3284023130459404,400,0.007039185760084885,0.0
2,1.053337574005127,0.007070639235805475,0.0018330314602815149,0.009774254498640014,0.004891805769745804,0.0,0.13997251841270636,0.1,0.0028781890869140625,0.05523228645324707,0.05014606,1.0604817,0.006580328840418752,0.0,0.00014075469683840926,0.0,200,0.03929281234741211,2.885243537385635,4.558538402901466,600,0.007952564530541478,0.0
3,1.1510064601898193,0.005399160278400941,0.003913635757509937,0.009347409472496397,0.0009215501884334866,0.0,0.14113803898354177,0.1,0.0029990673065185547,0.05550384521484375,0.05137757,0.92065084,0.006462211984216972,0.0,0.00010750846790207485,0.0,200,0.08530616760253906,4.359926891218624,1.6712123621053407,800,0.00838647114870064,0.0
4,1.1911468505859375,0.018948665519566837,0.007663639094346084,0.030521197911625542,0.009214789420640612,0.0,0.1516798945337769,0.1,0.0029768943786621094,0.056646108627319336,0.048391916,1.0058748,0.007710857337751958,0.0,0.00037812293257377785,0.0,200,0.11326432228088379,0.8848812412470938,0.43256975158722705,1000,0.008206807184691722,0.0
5,1.1450998783111572,0.0307904206126936,0.019972742202616647,0.06534328423600802,0.018390328940211514,0.0,0.14759060384086878,0.1,0.005482196807861328,0.0776975154876709,0.04849694,1.3636656,0.010018813665246123,0.0,0.0006005066980213507,0.0,200,0.0830683708190918,0.7292452161482799,0.5180676755230054,1200,0.008051783032595568,0.0
6,1.230241060256958,0.007443450879830897,0.004466507232458106,0.014965012573105365,0.003312262259990966,0.0,0.14537858573370163,0.1,0.005103111267089844,0.08676648139953613,0.050865944,0.8056761,0.009761277386704601,0.0,0.00014831899838663886,0.0,200,0.058405399322509766,10.561820871017682,4.565763477403205,1400,0.009501191492788384,0.0
7,1.1364128589630127,0.009995051091275952,0.010676260451541056,0.028325677202082195,0.0026644389355712336,0.0,0.14765389670347084,0.1,0.0028617382049560547,0.0569303035736084,0.04993005,1.6216795,0.009784654757161736,0.0,0.00019882357389537116,0.0,200,0.06051754951477051,1.9734050530044358,1.0495526535106987,1600,0.0080221613826329,0.0
8,1.1813418865203857,0.02839536716214506,0.03472571803987081,0.08756225809774769,0.0022573800069874425,0.0,0.14892431420873956,0.1,0.005078792572021484,0.0565800666809082,0.050092105,1.2647862,0.01164572599766007,0.0,0.0005659431422425987,0.0,200,0.11913228034973145,0.9947212318314762,0.7907880586469686,1800,0.00957334132223856,0.0
9,1.158996820449829,0.018941983448678167,0.01594167037908889,0.04463155823034798,0.0014161856717731002,0.0,0.14290761145316278,0.1,0.003004312515258789,0.055643558502197266,0.050983656,1.2408811,0.01237535174276188,0.0,0.0003772224419058704,0.0,200,0.04719042778015137,0.5737659136981885,0.6286304506052504,2000,0.013306445953032217,0.0
10,1.801023244857788,0.007185150935505381,0.004908813504283942,0.014375645667352487,0.0010649766455171521,0.0,0.13698353131041255,0.1,0.0031659603118896484,0.059746503829956055,0.04924034,1.247157,0.01185633166203623,0.0,0.00014365299744546802,0.0,200,0.0782022476196289,8.45432824534251,4.8088224537810556,2200,0.014439052755747065,0.0
