iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,0.6500215530395508,74.78949729897747,19.442011635419377,97.30470355840392,50.12017762465631,100.0,0.09200916465964167,0.1,0.034070491790771484,0.05643868446350098,0.16800494,2.7405064,74.78949729897747,1.6862091169935518,0.18534922534995518,100.0,145,0.012123823165893555,1.0004668633792075,0.9997729981652929,145,183.99018074421932,100.0
1,0.5558567047119141,84.78982191953922,27.91899336859332,107.44496179192537,37.1845558700888,100.0,0.18523669008182272,0.1,0.0031807422637939453,0.06375002861022949,0.049585875,0.6517841,75.78952976103363,1.6569554736052812,0.19587720317056684,100.0,147,0.011486291885375977,0.9998139864192492,0.9993296729348244,292,180.19891152731768,100.0
2,0.5757968425750732,66.60775756659228,16.374632905751223,88.31506747237145,43.46027155867502,100.0,0.180956810656769,0.1,0.0029778480529785156,0.05195736885070801,0.050098527,0.6943339,74.8713525415895,1.662298022027212,0.17835970934080514,100.0,145,0.01173090934753418,0.9990568388679346,0.9982907835166042,437,178.52629719193536,100.0
3,0.5877206325531006,79.9167086501991,18.116609514999553,107.17294591605146,56.17329718823673,100.0,0.1735560002706513,0.1,0.0029993057250976562,0.0522000789642334,0.049907383,0.70675385,75.37588815245047,1.667014794619878,0.19098077976860794,100.0,146,0.011923789978027344,0.9986218025555097,0.9978732459665114,583,165.32681718677267,100.0
4,0.6285758018493652,97.8246646632833,38.524033395819316,147.74911540868072,50.7542938651701,100.0,0.18710610121497095,0.1,0.0034332275390625,0.05266118049621582,0.05007022,0.6746736,77.62076580353376,1.6185644634025576,0.21012147328372155,100.0,158,0.012616634368896484,0.9984605065544899,0.9978119348876415,741,169.57932289922584,100.0
5,0.6161971092224121,72.0529956995716,14.389962604714361,91.62738083824546,56.82189983857994,100.0,0.1772178326045485,0.1,0.0028624534606933594,0.052065372467041016,0.049864482,0.7004199,77.06398879313754,1.6976031749648546,0.18305213269951773,100.0,143,0.011475086212158203,0.9965857549894928,0.9953772716602054,884,170.30561916422332,100.0
6,0.6322848796844482,84.46487627776506,18.31459858318921,100.35380045564585,54.74432851800165,100.0,0.18174923264529316,0.1,0.0030508041381835938,0.052388906478881836,0.05025106,0.7064536,77.8040775416003,1.6376728457238645,0.1952474550307574,100.0,149,0.01116633415222168,0.9963213142418421,0.9951557185410138,1033,163.4157720972248,100.0
7,0.6514420509338379,87.55810759291924,17.909526095725866,111.88276724983446,70.16155430405553,100.0,0.17351219328131742,0.1,0.0034210681915283203,0.053426504135131836,0.050469354,0.78287923,78.77948054673219,1.6662972200425743,0.19975385074835028,100.0,151,0.012113332748413086,0.9949100274395194,0.9933968020431447,1184,175.51934239873663,100.0
8,0.6422073841094971,76.36229043709258,40.146010267078495,119.6580141885246,18.384108491053297,100.0,0.16090466603726228,0.1,0.0046269893646240234,0.05583453178405762,0.049975805,0.84496427,78.53776153576824,1.6583482743736586,0.18724544881478447,100.0,142,0.013475656509399414,0.9933729159932962,0.9915337885945951,1326,178.44843674138636,100.0
9,0.626793622970581,101.4409738945423,22.874542641263687,128.81875252742554,74.37522888071892,100.0,0.16201435494654792,0.1,0.004863739013671875,0.053292274475097656,0.04968968,0.8071774,80.82808277164565,1.6615964862234847,0.21182465162228886,100.0,139,0.013433218002319336,0.9947682390513242,0.9933851916868762,1465,168.29945632134783,100.0
10,0.6500108242034912,88.86341604718109,27.301014775673593,120.0891920046482,45.18972121556757,100.0,0.16954779313943213,0.1,0.0030961036682128906,0.051612138748168945,0.050127152,0.7965831,81.6316160991992,1.6467377591082812,0.20127594099831447,100.0,147,0.012973308563232422,0.9906234178052488,0.9883242024248745,1612,170.46008950644236,100.0
