iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.0819072723388672,44.157201807350916,8.642958820048673,49.17056617247856,29.187178623023637,0.0,0.16029743868116927,0.1,0.033437490463256836,0.057343482971191406,0.049534854,0.5281308,44.157201807350916,0.0,0.5888410993728032,0.0,300,0.02042388916015625,1.0066557750560552,0.9984093748665085,300,49.1239285403851,0.0
1,1.0215306282043457,46.66191025226923,3.302458413153661,49.2348107706549,41.124629964363464,0.0,0.1778820293769274,0.1,0.003000974655151367,0.06191086769104004,0.053107776,0.46999055,44.407672651842745,0.0,0.6222709175534509,0.0,300,0.01716756820678711,0.9985884666320003,0.9882409911333963,600,49.12310359764765,0.0
2,1.023463249206543,43.14084580147252,10.398360866685138,49.213616909043104,25.130506569371775,0.0,0.16383295402382678,0.1,0.0029134750366210938,0.05684638023376465,0.05243407,0.5936947,44.28098996680573,0.0,0.5753069046947472,0.0,300,0.01761031150817871,0.988090876155552,0.9704612555326224,900,49.11604880188808,0.0
3,1.077714443206787,29.98598286462535,12.328332540766162,49.12540936341144,17.23748450581376,0.0,0.17022491514889457,0.1,0.0029501914978027344,0.05663776397705078,0.050691746,0.6902121,42.85148925658768,0.0,0.39988753938620175,0.0,300,0.017246723175048828,0.9636643603955498,0.9286421043451318,1200,49.117336691834076,0.0
4,1.0995097160339355,15.901995211121573,10.250218269031922,28.195079894677093,0.0777492428074106,0.0,0.16393855013233458,0.1,0.0028772354125976562,0.05708169937133789,0.050429147,0.9217456,40.15653985204107,0.0,0.21212523659037907,0.0,300,0.01744866371154785,0.8918680389508203,0.8249930844478913,1500,49.11889230735386,0.0
5,1.1174235343933105,48.381297011163255,1.2804844919591902,49.14313147080055,46.163571455451105,0.0,0.16866111103312764,0.1,0.002845287322998047,0.05602097511291504,0.051200356,0.5514284,40.9790155679533,0.0,0.6451923529054379,0.0,300,0.016930341720581055,0.9071680741995712,0.8488230046818498,1800,49.11496444479406,0.0
6,1.1569240093231201,40.69734739633492,14.607557369608497,49.15899026620874,15.396335191034918,0.0,0.17293516678214224,0.1,0.002846240997314453,0.05610823631286621,0.050157607,0.5772851,40.95084875079146,0.0,0.5426092123129093,0.0,300,0.01698899269104004,0.8481696741074207,0.7619807567250854,2100,49.113694079273735,0.0
7,1.1613543033599854,46.1315574790124,5.1966633268619695,49.159753237204555,37.130742797720046,0.0,0.16313097881787567,0.1,0.0027952194213867188,0.05594348907470703,0.049894582,0.46318305,41.46891962361355,0.0,0.615195742059362,0.0,300,0.01724529266357422,0.7569172918537193,0.6405015178800766,2400,49.11583387087193,0.0
8,1.1821198463439941,44.26483772259321,8.438367128916061,49.20572496517217,29.649340827079346,0.0,0.16783354505041892,0.1,0.0030219554901123047,0.056774139404296875,0.050071646,0.5244333,41.748511433511524,0.0,0.5902857187463231,0.0,300,0.01783156394958496,0.6372450429528426,0.5014380018010738,2700,49.11866675244204,0.0
9,1.1113579273223877,45.124902157330794,6.909501896337617,49.12583020896348,33.15730796028318,0.0,0.17736704664216157,0.1,0.002852916717529297,0.05724215507507324,0.050454844,0.53906137,42.08615050589346,0.0,0.601774441672038,0.0,300,0.01679682731628418,0.49726092937946564,0.3623264488294809,3000,49.11598864359127,0.0
