iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,rwd_sparse,rwd_dense,success_percentage,num_samples,time_VF,VF_error_before,VF_error_after,env_samples,eval_score,eval_success
0,1.4466350078582764,0.2274558796063699,0.006621388842148072,0.23489457833243058,0.21697928968563773,0.0,0.14261322520669942,0.1,0.05748414993286133,0.08614134788513184,0.051613104,4.712155,0.2274558796063699,0.0,0.003258374550939239,0.0,300,0.08756017684936523,0.7491405801920021,0.4335080244298683,300,0.2199816379723821,0.0
1,1.4090678691864014,0.23169568091712942,0.011042905544511853,0.2506230667258902,0.22340593260573097,0.0,0.1477295529439121,0.1,0.003536701202392578,0.07136034965515137,0.051610697,2.442069,0.22787985973744584,0.0,0.0033221896977739833,0.0,300,0.09656858444213867,0.46481463433108,0.35345345031854714,600,0.22548893995016264,0.0
2,1.4466331005096436,0.23322031555534953,0.005377177667089533,0.238868697565367,0.22560426430412162,0.0,0.14308330618671658,0.1,0.0033571720123291016,0.07696795463562012,0.05067727,4.054749,0.22841390531923622,0.0,0.003338774999284036,0.0,300,0.041811466217041016,0.339344775946381,0.2950000605721989,900,0.221302273079197,0.0
3,1.630305528640747,0.2450483301503637,0.040121069708072485,0.31413409076849097,0.21699351862592642,0.0,0.15725903065883243,0.1,0.008069515228271484,0.07223129272460938,0.05071977,2.1181674,0.23007734780234898,0.0,0.003495550913930243,0.0,300,0.07278180122375488,0.39512413703368265,0.3472294199767384,1200,0.2218789529355906,0.0
4,1.5429027080535889,0.2387921453294045,0.0051263665877487215,0.24642684815372315,0.23403995703233044,0.0,0.14131178053167032,0.1,0.0037567615509033203,0.06482625007629395,0.049541768,6.239928,0.23094882755505453,0.0,0.003411808415385113,0.0,300,0.04201197624206543,0.33471488512292175,0.2465904304432813,1500,0.2248142308775515,0.0
5,1.6768834590911865,0.24866165903169957,0.018072616066542608,0.27672446184066224,0.2263157717725092,0.0,0.1356323810592136,0.1,0.004603147506713867,0.09423208236694336,0.053276353,14.148408,0.23272011070271903,0.0,0.003532830423567975,0.0,300,0.127091646194458,0.2722082927470692,0.19594576260949423,1800,0.22210120413668513,0.0
6,1.9022271633148193,0.23624688459414672,0.019628309116148712,0.2700510673939815,0.22185170623270714,0.0,0.14654550205973094,0.1,0.003413677215576172,0.07173967361450195,0.048142787,17.351433,0.2330727880918618,0.0,0.0033674668701987446,0.0,300,0.07123398780822754,0.23870163316756224,0.1940603034814922,2100,0.23387995169330755,0.0
7,1.59248948097229,0.23358007974198913,0.008299399869911779,0.24329040275375294,0.22429840336205267,0.0,0.12897710038748433,0.1,0.0058650970458984375,0.08858323097229004,0.048502836,12.645241,0.23312351725687452,0.0,0.003341400277933236,0.0,300,0.12613153457641602,0.1744202079501607,0.16388030242484722,2400,0.22989192980321263,0.0
8,1.6202621459960938,0.25848925249338567,0.03519710332418371,0.31908681518953863,0.23382653012076887,0.0,0.13442757920290602,0.1,0.003480672836303711,0.06865978240966797,0.049560044,7.966442,0.23566009078052566,0.0,0.0036689145036068083,0.0,300,0.04050898551940918,0.26873199147695426,0.24279654770218018,2700,0.22814578008129063,0.0
9,1.660205364227295,0.2575059882333378,0.027397033445482895,0.2969583967912285,0.21949705819884213,0.0,0.13938807441151177,0.1,0.003476381301879883,0.06852364540100098,0.04727978,17.44018,0.23784468052580687,0.0,0.003641241182687784,0.0,300,0.12434959411621094,0.19637372895789798,0.16727156431528756,3000,0.2527958972164624,0.0
10,1.6223554611206055,0.23776831403717116,0.013420878884375605,0.26048984041293904,0.2277277374221385,0.0,0.1432781462249076,0.1,0.02679753303527832,0.07143402099609375,0.04973633,10.69835,0.2378370438769433,0.0,0.003401693886698872,0.0,300,0.057317495346069336,0.17712369081744733,0.14954625278624398,3300,0.23008802302002584,0.0
11,1.65224027633667,0.2502575156782851,0.01591462807320948,0.2744623477231172,0.23073604132933725,0.0,0.1645374213455916,0.1,0.0035142898559570312,0.06751203536987305,0.051005572,2.6881835,0.23907909105707748,0.0,0.003542198873076065,0.0,300,0.20854878425598145,0.13944980801707307,0.1273938840967509,3600,0.2248630012443714,0.0
12,1.6161565780639648,0.2631777345335301,0.030097051019270793,0.312619417865032,0.23335185101627282,0.0,0.17640511291611166,0.1,0.0040819644927978516,0.0725400447845459,0.0501288,2.2399826,0.24148895540472273,0.0,0.0037231307193226703,0.0,300,0.046533823013305664,0.19929886265589863,0.18475573250446414,3900,0.2372904698982451,0.0
13,1.5770063400268555,0.279803456706507,0.04622360733551185,0.347190180726603,0.23089949994514153,0.0,0.1840054201760111,0.1,0.0058095455169677734,0.14194273948669434,0.04977047,2.0663822,0.24532040553490114,0.0,0.003908640769035288,0.0,300,0.03825497627258301,0.28980171543856553,0.2738593193543603,4200,0.24320065287039172,0.0
14,1.710801362991333,0.29983478033791566,0.08168158532918306,0.43700920412909716,0.2313796822566453,0.0,0.17308162633656674,0.1,0.005899190902709961,0.0709381103515625,0.050235692,1.7530825,0.2507718430152026,0.0,0.004223716665548343,0.0,300,0.03419375419616699,0.36728506953124973,0.3249369384773634,4500,0.27910326944235975,0.0
15,1.684161901473999,0.28740588981864174,0.061694668029994834,0.3865296927995673,0.23065136650109497,0.0,0.16974976528693733,0.1,0.006175518035888672,0.12804031372070312,0.048266508,4.234211,0.25443524769554654,0.0,0.0040320089552978305,0.0,300,0.1035909652709961,0.3385139267623689,0.30832782394083297,4800,0.28029761845061374,0.0
16,1.7207961082458496,0.2814271895209185,0.04240517782503698,0.34945226274153096,0.2336988139526867,0.0,0.17439275391500642,0.1,0.10021829605102539,0.08303356170654297,0.048812453,2.9457567,0.25713444187808376,0.0,0.003985032418822588,0.0,300,0.14479851722717285,0.26144955260051495,0.22676192772401615,5100,0.2854164077903758,0.0
17,1.7523369789123535,0.268445108206261,0.0285462321041489,0.29696813828324575,0.22218645821900784,0.0,0.16246398904767995,0.1,0.07761597633361816,0.09610962867736816,0.049580563,2.9862752,0.25826550851090146,0.0,0.003800115108241047,0.0,300,0.04911160469055176,0.1428532557707496,0.1284369503923387,5400,0.329121381326714,0.0
18,1.810896396636963,0.3684449518468883,0.11258726679091118,0.5312542162175171,0.2598654600903819,0.0,0.1789794027462331,0.1,0.0050809383392333984,0.06691098213195801,0.050374582,1.2017977,0.26928345284450017,0.0,0.005127292649028137,0.0,300,0.07552933692932129,0.44973229922646507,0.3107885327025687,5700,0.3223391686136008,0.0
19,1.6938502788543701,0.2575814569228076,0.028448113878022274,0.3046307627350794,0.23351610198471373,0.0,0.16103420924545858,0.1,0.0034749507904052734,0.0803077220916748,0.04909772,2.5053618,0.26811325325233093,0.0,0.0036473489604647944,0.0,300,0.09974932670593262,1.7549011644932095,0.24112266078052808,6000,0.2944614304720941,0.0
20,1.8680641651153564,0.42298804492570696,0.2675454638007071,0.8858469387215022,0.24840784192527773,0.0,0.19062112887638916,0.1,0.0035834312438964844,0.06794548034667969,0.051786102,1.5281187,0.28360073241966854,0.0,0.005849215775798117,0.0,300,0.1184086799621582,0.8361036069905274,0.6481101364461921,6300,0.3526187584122988,0.0
21,1.792294979095459,0.31519348963108024,0.08328020936673931,0.4447901573232083,0.22782960780056807,0.0,0.16273751513289175,0.1,0.0037949085235595703,0.06943035125732422,0.050246272,2.1183782,0.28676000814080976,0.0,0.004408240392609076,0.0,300,0.06020545959472656,0.26240441090501426,0.5436169746909959,6600,0.36261712318756883,0.0
22,1.6701483726501465,0.4602164371261202,0.2154190763823128,0.7109779207989229,0.22592986908170315,0.0,0.19265324059128758,0.1,0.00619959831237793,0.07024621963500977,0.050812636,0.78931016,0.30410565103934084,0.0,0.006105583679537382,0.0,300,0.056142568588256836,0.4789121199759521,0.45321403646950825,6900,0.5085915444948224,0.0
23,1.7510383129119873,0.2553944302903469,0.013623685915894516,0.27294266987409577,0.234918612815645,0.0,0.1560019686577178,0.1,0.005431413650512695,0.06677556037902832,0.051876966,2.9781396,0.29923452896444147,0.0,0.003636585818142798,0.0,300,0.1257007122039795,2.6693348008367983,0.6959160455478003,7200,0.30628537570903713,0.0
24,1.6543824672698975,0.8844640582806005,0.655103296121878,1.9518904493028764,0.26158073225237544,0.0,0.1585857327014292,0.1,0.025343894958496094,0.07693934440612793,0.048085332,1.6235213,0.3577574818960574,0.0,0.011972359115022979,0.0,300,0.13972854614257812,0.8074831727496162,0.6963508268510733,7500,0.3243653197446687,0.0
25,1.7979114055633545,0.26528724090331524,0.026654627981677576,0.3051587334683931,0.23369425119496434,0.0,0.16159170225623526,0.1,0.0033037662506103516,0.09129524230957031,0.049074203,10.355275,0.3485104577967832,0.0,0.0037690054514189267,0.0,300,0.1636967658996582,2.374028405230089,4.125476124635045,7800,0.3943248194144253,0.0
